%Y-%m-%d;SPI;BASI;INDU;CONG;HLTH;CONS;TELE;UTIL;FINA;TECH
2000-02-14;946.65;940.41;1014.86;896.22;924.4;1032.44;917.7;965.24;913.23;1602.72
2000-02-15;932.94;934.11;989.02;884.75;912.26;1035.5;900.62;990.95;900.16;1550.99
2000-02-16;945.2;951.36;1002.83;919.27;926.02;1032.39;892.86;986.99;906.4;1531.52
2000-02-17;955.5;942.41;1007.42;926.26;942.03;1046.3;869.57;1010.51;917.89;1533.26
2000-02-18;960.54;947.48;1005.33;944.58;950.12;1046.71;854.04;992.19;918.95;1551.6
2000-02-21;950.21;939.37;995.03;928.95;941.36;1023.02;835.4;979.48;911.59;1532.82
2000-02-22;957.93;945.16;999.43;954.18;947.84;1004.22;844.72;987.23;919.41;1545.92
2000-02-23;965.19;945.34;1017.23;960.73;956.25;1003.77;852.48;998.6;919.59;1615.96
2000-02-24;962.17;932.92;1018.78;956.07;950.45;1020.27;846.27;981.98;913.35;1677.26
2000-02-25;956.38;918.37;1010.16;969;942.47;1026.84;864.91;981.9;901.58;1677.8
2000-02-28;947.45;906.96;994.94;966.5;939.61;1020.51;846.27;986.13;887.39;1649.32
2000-02-29;945.86;899.13;984.95;970.13;936.57;1026.38;844.72;989.92;886.39;1686.64
2000-03-01;955.34;906.23;994.31;981.59;940.13;1038.47;850.93;975.04;897.42;1777.64
2000-03-02;967.74;919.15;1004.98;985.12;950.64;1062.26;965.84;983.16;906.83;1829.84
2000-03-03;965.71;924.98;994.97;976.56;952.55;1061.24;1074.53;983.07;900.27;1815.98
2000-03-06;976.47;918.8;1011.71;982.85;968.79;1068.74;1104.04;981.76;905.28;1839.95
2000-03-07;972.18;910.38;1011.42;965.63;962.26;1061.56;1079.19;956.58;908.53;1844.52
2000-03-08;956.65;896.5;985.78;933.93;947.54;1041.25;1065.22;960.01;904.52;1796.57
2000-03-09;953.13;894.67;987.29;931.25;947.96;1034.35;1096.27;943.39;894.02;1775.94
2000-03-10;954.28;895.34;984.07;915.75;951.38;1032.28;1141.3;949.94;894.56;1852.75
2000-03-13;934.47;870.8;954.38;903.51;924.08;1015.63;1086.96;970.15;888.29;1785.12
2000-03-14;943.35;878.05;966.3;907.49;932.39;1023.92;1083.85;976.55;896.08;1848.68
2000-03-15;940.86;856.46;967.64;942.95;927.43;1006.52;1040.37;951.68;891.54;1778.37
2000-03-16;969.86;901.83;988.5;997.24;945.56;1024.26;1046.58;947.59;935.21;1685.24
2000-03-17;968.83;888.08;966.94;982.09;952.49;1038.23;1038.82;954.71;938.51;1691.54
2000-03-20;980.05;895.65;988;999.83;951.14;1066.84;1093.17;974.06;946.56;1802.99
2000-03-21;987.39;899.7;990.38;1011.86;962.61;1064.02;1077.64;956.31;957.09;1746
2000-03-22;1002.12;915.34;1009.49;1014.82;975.58;1079.83;1066.77;967.22;979.06;1733.61
2000-03-23;1001.97;907.31;1002.69;1013.81;978;1096.16;1040.37;965.45;977.64;1756.95
2000-03-24;1012.07;901.53;1012.46;1026.54;985.5;1096.63;1045.03;964.95;993.39;1772.81
2000-03-27;1004.9;905.05;1011.73;1015.79;971.99;1109.77;1032.61;984.38;986.38;1778.6
2000-03-28;1006.25;900.81;1022.24;1021.51;975.45;1106.39;1031.06;974.58;983.23;1753.59
2000-03-29;1010.08;910.29;1019.83;1016.62;978.87;1102.42;1037.27;965.18;993.51;1766.47
2000-03-30;1005.21;906.62;1020.91;1021.2;975.5;1070.57;1007.76;978.66;989.25;1701.43
2000-03-31;1010.54;916.81;1015.95;1025.64;976.11;1090.67;990.68;982.05;1004.1;1684.79
2000-04-03;1018.61;923.83;1022.86;1034.65;989.62;1080.01;945.65;972.84;1014.57;1654.31
2000-04-04;1023.52;926.43;1022.66;1053.39;992.27;1085.78;913.04;965.76;1027.89;1547.45
2000-04-05;1006.86;907.07;1007.24;1051.69;977.75;1076.89;909.94;963.27;1005.73;1448.28
2000-04-06;1008.49;914.17;1018.88;1046.43;977.13;1081.48;964.29;967.01;997.53;1565.28
2000-04-07;1008.25;904.51;1018;1042.37;978.53;1085.45;961.18;963.38;996.32;1592.25
2000-04-10;1005.35;898.78;1003.18;1041.26;976.91;1086.91;978.26;961;995.21;1586.93
2000-04-11;1010.29;912.59;1012.08;1044.67;988.94;1071.21;945.65;976.12;998.95;1523.76
2000-04-12;1018.48;926.5;1017.74;1054.83;994.4;1085.09;939.44;981.84;1011.2;1506.66
2000-04-13;1018.82;930.35;1027.55;1044.54;996.21;1071.53;954.97;970.74;1015.07;1439.69
2000-04-14;1007.53;925.11;1008.88;1034.99;986.61;1059.43;923.91;992.89;1003.77;1433.14
2000-04-17;989.49;912.5;993.79;1025.59;981.46;1024.26;895.96;994.6;968.59;1421.29
2000-04-18;993.21;913.77;1023.94;1022.64;986.27;1022.83;908.39;1015.59;961.06;1454.11
2000-04-19;996.08;908.44;1035.04;1027.61;985.78;1029.98;911.49;994.64;962.66;1482.26
2000-04-20;998.19;905.71;1042.15;1028.48;988.51;1023.3;953.42;1016.99;962.83;1471.44
2000-04-25;1005.82;914.17;1051.19;1046.17;1000.25;1026.28;913.04;1014.74;966.05;1456.66
2000-04-26;1011.12;915.34;1049.48;1042.75;1008.57;1030.18;942.55;1019.08;971.59;1499.67
2000-04-27;1006.23;919.27;1040.27;1044.65;999.83;1035.98;933.23;1034.11;966.5;1507.76
2000-04-28;1007.94;919.24;1038.6;1041.19;998.87;1057.36;939.44;1011.7;968.6;1566.11
2000-05-02;1024.95;922.95;1058.42;1050.56;1015.59;1090.82;953.42;1007.74;985.93;1607.94
2000-05-03;1023.25;917.16;1056.46;1045.15;1014.68;1087.38;958.07;1003.14;985.8;1599.6
2000-05-04;1022.04;905.93;1055.14;1051.72;1009.3;1086.17;953.42;990.84;989.06;1580.17
2000-05-05;1021.2;914.84;1057.66;1059.5;1002.85;1087;958.07;1024.2;987.16;1581.7
2000-05-08;1024.46;914.06;1059.89;1071.93;1003;1096.61;940.99;1015.04;991.99;1578.52
2000-05-09;1031.67;919.53;1061.53;1091.24;1012.36;1093.46;916.15;1015.57;999.78;1558.84
2000-05-10;1026.83;921.7;1044.86;1089.8;1007.71;1080.88;902.17;979.41;1001.78;1521.11
2000-05-11;1043.58;933.54;1068.89;1119.29;1023.82;1086.82;922.36;1018.47;1011.95;1555.66
2000-05-12;1048.4;934.2;1077.54;1108.7;1029.02;1089.07;933.23;985.55;1021.78;1563.64
2000-05-15;1046.66;936.71;1079.18;1100.63;1021.93;1091.41;923.91;971.93;1026.63;1557.84
2000-05-16;1052.63;938.19;1090.79;1093.19;1021.12;1096.12;944.1;979.86;1042.15;1576.13
2000-05-17;1047.98;930.24;1086.01;1092.37;1014.73;1097.86;916.15;983.15;1038.84;1565.44
2000-05-18;1055.33;939.84;1117.55;1094.57;1013.84;1096.68;903.73;998.26;1049.39;1565.02
2000-05-19;1045.93;949.17;1108.47;1090.65;1004.58;1092.83;858.7;981.23;1039.12;1508.19
2000-05-22;1042.72;935.64;1098.66;1105.55;1005.32;1092.5;857.14;985.28;1032.43;1437.06
2000-05-23;1054.66;938.45;1108.17;1119.97;1014.89;1083.75;863.35;981.19;1051.86;1452.95
2000-05-24;1054.6;934.45;1095.22;1135.94;1017.46;1063.42;855.59;970.58;1054.58;1420.51
2000-05-25;1064.65;933.79;1115.22;1135.41;1028.4;1065.02;888.2;968.75;1063.67;1454.67
2000-05-26;1051.5;916.28;1106.39;1121.15;1025.54;1050.63;877.33;977.53;1038.55;1430.45
2000-05-29;1054.68;923.39;1105.38;1117.13;1027.07;1063.49;900.62;972.88;1045.03;1437.45
2000-05-30;1045.48;933.83;1073.49;1117.16;1022.29;1065.63;908.39;987.09;1030.22;1448.07
2000-05-31;1049.14;932.33;1090.23;1112.05;1020.35;1076.2;920.81;987.25;1035.88;1469.84
2000-06-02;1064.34;944.8;1086.74;1125.57;1031.54;1089.4;944.1;977.98;1062.27;1528.75
2000-06-05;1059.37;940.44;1092.38;1105.22;1022.27;1085.86;937.73;973.95;1062.55;1532.19
2000-06-06;1054.26;936.94;1092.4;1110.65;1005.13;1099.87;929.77;977.14;1060.44;1542.72
2000-06-07;1061.18;938.75;1096;1111.94;1016.52;1115.28;923.4;981.84;1066.59;1540.76
2000-06-08;1063.36;937.84;1094.42;1095.05;1022.35;1105.2;937.73;984.43;1075.16;1549.95
2000-06-09;1062.37;937.76;1093.58;1083.71;1024.42;1103.26;936.14;973.12;1074.62;1555.51
2000-06-13;1062.11;937.42;1089.42;1098.4;1019.07;1085.87;955.24;983.23;1078.64;1534.86
2000-06-14;1069.31;940.44;1091.11;1114.8;1022.34;1088.67;987.09;983.58;1089.3;1539.48
2000-06-15;1061.88;937.43;1079.87;1110.33;1015.54;1086.17;971.16;978.16;1079.95;1542.11
2000-06-16;1064.31;935.87;1086.42;1124.02;1012.84;1085.87;955.24;983.25;1082.47;1562.93
2000-06-19;1058.02;933.33;1083.42;1114.52;1004.14;1084.24;956.84;978.02;1076.95;1557.37
2000-06-20;1059.33;934.6;1080.76;1111.43;1006.02;1090.99;958.43;1002.11;1077.88;1588
2000-06-21;1054.37;925.78;1067.38;1119.9;1004.87;1089.58;939.32;989.22;1068.27;1576.47
2000-06-22;1042.29;920.77;1055.87;1116.68;985.82;1089.59;928.18;999.88;1056.53;1568.36
2000-06-23;1042.91;917.48;1056.53;1118.75;984.01;1086.91;932.95;994.83;1060.83;1559.27
2000-06-26;1043.5;922.28;1067.93;1120.34;978.16;1083.66;929.77;995.41;1062.6;1576.87
2000-06-27;1043.66;920.41;1067.21;1115.56;986.36;1081.52;929.77;995.34;1056.36;1583.91
2000-06-28;1048.12;918.07;1069.22;1116.36;987.66;1078.65;934.55;1001.45;1068.5;1593.95
2000-06-29;1046.01;916.63;1058.62;1127.05;990.18;1080.13;907.48;1004.1;1060.97;1582.94
2000-06-30;1053.85;923.58;1062.99;1122.82;1003.13;1099.28;899.52;1031.65;1068.15;1591.55
2000-07-03;1058.94;934.53;1063.48;1131.7;1011.79;1103.69;909.07;1015.92;1069.38;1595.14
2000-07-04;1065.43;941.39;1076.75;1130.71;1014.87;1125.88;913.85;1009.72;1077.59;1600.88
2000-07-05;1071.62;944.04;1073.48;1130.32;1028.56;1117.96;915.44;1031.17;1085.64;1593.93
2000-07-06;1077.72;943.06;1065.62;1128.83;1046.09;1127.29;923.4;1025.71;1088.34;1605.03
2000-07-07;1079.66;939.29;1074.07;1129.65;1043.77;1133.74;931.36;1027.8;1089.99;1644.27
2000-07-10;1082.1;932.87;1078.55;1129.97;1045.57;1134.42;931.36;1025.84;1094.36;1653.33
2000-07-11;1084.24;939.77;1078.56;1129.69;1045.51;1137.3;928.18;1049.74;1100.17;1651.9
2000-07-12;1081.33;948.41;1093.13;1126.32;1043.55;1145.15;928.18;1038.12;1085.43;1650.01
2000-07-13;1089.33;954;1104.96;1126.69;1041.62;1156.32;928.18;1048.44;1105.81;1662.53
2000-07-14;1088.01;954.82;1111.63;1115.29;1031.7;1153.86;929.77;1042.91;1113.62;1673
2000-07-17;1085.06;957.39;1108.86;1114.43;1015.06;1145.18;936.14;1041.54;1124.74;1669.1
2000-07-18;1081.8;955.41;1105.48;1109.23;1011.88;1137.71;932.95;1040.35;1121.79;1678.67
2000-07-19;1085.9;958.05;1110.05;1116.86;1018.31;1120.47;931.36;1040.71;1125.78;1680.23
2000-07-20;1087.8;950.22;1092.41;1130.39;1015.44;1124.93;923.4;1030.64;1137.11;1704.27
2000-07-21;1084.68;943.95;1078.31;1131.86;1012.61;1145.6;905.89;1027.75;1131.83;1734.91
2000-07-24;1096.07;946.54;1085.09;1160.24;1022.99;1153.27;896.34;1029.57;1143.38;1736.05
2000-07-25;1096.04;947.39;1081.03;1161.71;1023.11;1162.75;889.97;1025.4;1145.9;1694.5
2000-07-26;1094.18;947.65;1086.47;1152.85;1020.79;1158.55;880.42;1016.53;1146.27;1669.4
2000-07-27;1093.15;948.12;1082.84;1157.66;1019.32;1150;891.56;1020.86;1146.63;1640.67
2000-07-28;1092.93;945.43;1077.53;1184.55;1017.91;1136.81;886.78;1021.23;1143.71;1611.99
2000-07-31;1095.82;952.38;1080.89;1188.44;1018.71;1141.97;885.19;1027.59;1147.36;1618.38
2000-08-02;1111.99;956.47;1065.49;1196.89;1047.43;1153.53;889.97;1017.94;1169.33;1641.29
2000-08-03;1110.08;958.61;1050.19;1206.48;1049.92;1168.72;888.37;1019.08;1166.28;1552.46
2000-08-04;1110.96;959;1062.05;1202.84;1048.36;1179.91;889.97;1020.5;1164.01;1572.81
2000-08-07;1125.96;957.54;1078.38;1206.35;1057.22;1183.12;891.56;1022.74;1193.77;1604.97
2000-08-08;1125.53;955.58;1076.11;1198.21;1049.2;1183.22;880.41;1023.98;1205.34;1618.7
2000-08-09;1126.63;969.55;1082.77;1187.24;1049.56;1188.04;885.19;1026.9;1205.18;1647.99
2000-08-10;1122.85;973.09;1075.97;1183.35;1048.56;1188.39;901.11;1032.76;1196.74;1645.49
2000-08-11;1126;975.31;1068.97;1189.28;1053.18;1192.23;886.78;1030.65;1203.97;1627.42
2000-08-14;1132.82;975.67;1082.07;1192.29;1062.9;1202.31;885.19;1023.69;1206.51;1648.26
2000-08-15;1132.25;971.33;1082.86;1194.47;1062.07;1215.73;866.09;1026.74;1203.05;1658.36
2000-08-16;1140.98;980.9;1096.68;1203.44;1062.16;1228.06;851.76;1029.05;1219.23;1675.18
2000-08-17;1132.71;977.97;1098.16;1199.43;1043.8;1216.96;864.49;1032.51;1213.36;1687.06
2000-08-18;1132.21;974.39;1094.2;1194.47;1042.72;1224.49;867.68;1034.7;1214.24;1708.83
2000-08-21;1137.52;979.48;1099.35;1208.47;1049.43;1235.47;851.76;1032.73;1213.85;1731.74
2000-08-22;1142.75;975.3;1101.26;1217.38;1062;1239.78;818.32;1045.62;1215.78;1711.65
2000-08-23;1148.76;972.1;1098.22;1265.67;1065.97;1230.97;813.55;1034.67;1217.24;1695.34
2000-08-24;1146.52;978.23;1096.86;1278.68;1062.65;1220.7;824.69;1044.47;1206.8;1726.39
2000-08-25;1142.04;976.05;1099.49;1269.55;1060.12;1213.97;827.88;1041.8;1198.03;1728.09
2000-08-28;1145.44;976.13;1103.26;1264.58;1064.68;1218.46;827.88;1031.99;1203.58;1737.62
2000-08-29;1135.68;966.47;1099.9;1258.58;1050.52;1212.3;805.59;1042.49;1194.44;1722.75
2000-08-30;1130.1;961.82;1095.41;1266.53;1045.92;1203.22;786.48;1056.99;1184.96;1682.72
2000-08-31;1131.2;965.78;1100.02;1273.04;1043.4;1213.41;786.48;1052.08;1180.92;1741.48
2000-09-01;1132.95;972.52;1100.94;1277.77;1042.89;1200.22;810.36;1074.05;1184.83;1739.57
2000-09-04;1129.55;972.98;1098.05;1238.45;1033.65;1194.72;827.88;1077.89;1197.35;1783.07
2000-09-05;1127.42;971.36;1096.8;1240.08;1030.45;1192.72;816.73;1076.51;1193.47;1801.83
2000-09-06;1123.15;973.82;1084.58;1245.33;1030.2;1200.74;796.03;1078.03;1181.94;1802.81
2000-09-07;1123.75;978.05;1075.17;1250.88;1028.75;1207.71;780.91;1071.3;1187.92;1784.78
2000-09-08;1119.95;976.01;1053.2;1241.74;1031.36;1220.39;772.15;1083.36;1184.45;1775.37
2000-09-11;1119.95;968.71;1041.74;1252.35;1036.13;1213.52;762.6;1082.35;1183.15;1765.3
2000-09-12;1112.24;960.63;1029.68;1245.65;1032.61;1200.5;759.42;1083.33;1173.33;1748
2000-09-13;1110.87;960.67;1027.12;1249.58;1033.02;1201.71;760.21;1079.15;1168.12;1740.95
2000-09-14;1108;955.01;1027.72;1242.6;1022.24;1200.58;766.58;1091.48;1171.74;1765.02
2000-09-15;1109.7;955.48;1029.19;1250.51;1025.82;1199.41;760.21;1093.25;1169.48;1774.72
2000-09-18;1099.89;947.56;1013.68;1246.12;1026.95;1188.08;750.66;1104.54;1147.98;1754.55
2000-09-19;1091.77;938.4;969.19;1254.57;1031.73;1213.6;733.15;1087.38;1132.46;1713.07
2000-09-20;1086.95;932.66;970.14;1258.24;1027.39;1209.47;716.43;1086.11;1120.93;1721
2000-09-21;1088.25;922.52;970.3;1264.13;1031.11;1214.71;712.45;1088.98;1121.47;1691.84
2000-09-22;1097.28;915.69;974.58;1274.22;1047.67;1214.5;693.35;1088.01;1133.36;1635.5
2000-09-25;1105.01;928.92;983.28;1276.95;1047.52;1223.57;706.08;1080.27;1146.92;1697.6
2000-09-26;1098.68;924.97;985.81;1271.43;1038.52;1228.33;704.49;1079.28;1138.38;1670.86
2000-09-27;1097.86;923.3;981.2;1270.16;1040.42;1242.1;703.69;1073.09;1130.75;1721.8
2000-09-28;1098.98;917.31;978.1;1273.61;1051.56;1249.16;696.53;1066.69;1120.88;1742.37
2000-09-29;1079.78;904;975.42;1220.6;1044.67;1239.08;674.24;1074.23;1087.29;1782.89
2000-10-02;1100.24;914.18;991.44;1269.89;1054.2;1244.31;693.35;1066.04;1115.55;1795.73
2000-10-03;1109.52;919.87;999.09;1274.23;1054.37;1239.4;718.02;1064.61;1139.52;1813.42
2000-10-04;1108.28;924.1;997.83;1268.52;1058.37;1239.33;706.88;1065.39;1135.45;1788.93
2000-10-05;1110.61;923.03;1001.44;1277.1;1060.25;1241.7;695.73;1065.62;1137.61;1774.42
2000-10-06;1104.92;915.92;996.65;1271.41;1064.25;1232.94;666.28;1073.16;1123.4;1749.65
2000-10-09;1083.35;910.74;976.94;1275.4;1051.77;1222.21;647.97;1075.6;1081.02;1661.95
2000-10-10;1090.78;911.95;984.44;1273.57;1057.98;1223.89;650.36;1081.07;1096.02;1661.64
2000-10-11;1070.19;907.64;955.38;1280.48;1061.11;1197.12;620.11;1086.27;1045.7;1566.97
2000-10-12;1073.85;906.85;950.2;1269.79;1064.04;1187.36;608.97;1087.87;1061.71;1590.1
2000-10-13;1065.93;901.61;943.09;1257.64;1061.63;1154.67;612.15;1093.27;1052.52;1572.14
2000-10-16;1058.48;893.72;928.66;1220.66;1047.24;1149.88;623.29;1088.39;1063.65;1597.87
2000-10-17;1063.08;894.76;924.11;1203.16;1052.42;1176.02;615.33;1094.36;1078.77;1574.58
2000-10-18;1062.16;889.82;908.73;1233.31;1055.48;1146.1;589.07;1088.19;1080.98;1470.83
2000-10-19;1079.66;911.12;940.72;1240.68;1058.53;1147.33;620.11;1093.41;1108.84;1559.81
2000-10-20;1076.01;915.43;942.81;1212.29;1063.03;1152.83;633.64;1100.47;1098.66;1580.31
2000-10-23;1081.77;914.72;955.47;1191.04;1069.4;1165.1;651.16;1108.83;1107.46;1624.21
2000-10-24;1095.62;937.19;970.46;1213.16;1073.43;1177.07;700.51;1118.82;1125.58;1648.83
2000-10-25;1090.99;931.3;940.67;1237.89;1071.37;1181.12;719.61;1122.63;1115.21;1639.46
2000-10-26;1093.45;930.3;933.52;1247.18;1070.55;1173.09;721.21;1117.61;1126.63;1610.05
2000-10-27;1096.84;928.21;960.36;1243.48;1073.88;1179.57;727.58;1121.34;1123.33;1615.06
2000-10-30;1105.85;942.1;956.91;1253.83;1083.67;1191.48;739.52;1118.02;1137.21;1594.56
2000-10-31;1109.51;955.66;971.14;1258.15;1074.07;1198.64;726.78;1109.73;1150.07;1595.79
2000-11-01;1110.08;958.07;972.77;1250.56;1076.97;1214.11;719.61;1111.75;1149.24;1587.17
2000-11-02;1123.83;962.98;986.86;1251.25;1087.52;1231.84;737.92;1116.17;1170.19;1618.05
2000-11-03;1121.26;959.79;984.38;1230.33;1088.3;1218.29;718.82;1118.66;1173.29;1612.92
2000-11-06;1130.2;965.99;996.97;1256.98;1102.31;1212.82;743.5;1119.66;1171.03;1626.62
2000-11-07;1129.5;969.43;982.97;1255.56;1101.03;1205.88;738.72;1133.55;1178.38;1601.23
2000-11-08;1126.59;966.56;978.7;1264.92;1110.52;1197.34;704.49;1138.62;1162.61;1573.94
2000-11-09;1115.77;965.12;976.9;1261.72;1102.65;1198.66;695.73;1120.04;1142.71;1518.83
2000-11-10;1116.87;960.66;960.6;1262.31;1110.18;1180.01;663.89;1123.3;1152.91;1460.96
2000-11-13;1107.99;918.06;950.04;1264.85;1108.17;1165.14;656.73;1118.44;1141.99;1391.73
2000-11-14;1123.36;923.95;964.82;1265.5;1113.78;1177.53;719.61;1112.85;1168.22;1474.69
2000-11-15;1122.68;937.41;958.82;1267.72;1113.96;1191;700.51;1111.06;1165.2;1466.05
2000-11-16;1126.12;941.79;967.71;1260.07;1118.36;1214.56;715.63;1110.4;1166.25;1465.25
2000-11-17;1126.38;928.3;968.38;1253.22;1120.46;1186.1;706.88;1138.36;1172.26;1476.39
2000-11-20;1126.45;920.63;967.2;1258.66;1127.51;1180.2;670.26;1132.84;1168.36;1462.16
2000-11-21;1128.75;916.45;961.73;1271.39;1130.6;1173.42;674.24;1132.64;1170.87;1470.7
2000-11-22;1111.23;908.16;948.83;1281.53;1120.73;1118.61;636.03;1133.27;1141.44;1415.2
2000-11-23;1114.14;902.63;941.39;1279.92;1123.3;1133.77;648.77;1124.5;1150.44;1399.83
2000-11-24;1117.83;909.44;942.15;1278.82;1124.92;1139.66;694.14;1116.04;1155.49;1421.99
2000-11-27;1126.21;914.69;957.08;1277.02;1129.95;1152.58;700.51;1120.97;1165.75;1469.41
2000-11-28;1117.66;911.87;946.58;1264.92;1126.27;1143.03;684.59;1116.92;1154.98;1444.33
2000-11-29;1114.35;910.59;941.99;1271.57;1121.83;1140.32;681.41;1129.24;1152.9;1383.61
2000-11-30;1101.61;911.13;928.88;1270.25;1117.64;1114.39;660.71;1122.16;1133.38;1290.19
2000-12-01;1110.57;908.15;937.07;1281.36;1122.26;1100.21;681.41;1124.77;1151.13;1294.05
2000-12-04;1105.13;905.47;924.35;1297.72;1130.47;1071.35;659.12;1108.32;1134.3;1202.77
2000-12-05;1123.63;925.59;936.41;1300.89;1152.52;1074.21;678.22;1123.01;1158.78;1267.72
2000-12-06;1115.73;924.12;953.32;1275.72;1116.91;1067.47;686.18;1117.55;1171.88;1286.13
2000-12-07;1105.06;925.65;951.24;1267.15;1104.76;1051.61;686.18;1099.5;1156.8;1285.86
2000-12-08;1102.65;932.54;955.23;1225.63;1099.4;1063.17;709.27;1121.14;1163.8;1287.37
2000-12-11;1108.03;939.55;965.22;1211.39;1097.55;1082.78;718.02;1098.5;1178.03;1318.7
2000-12-12;1104.8;937.4;965.58;1201.84;1091.68;1074.09;710.06;1103.02;1179.59;1307.38
2000-12-13;1107.71;940.54;964.98;1218.85;1096.6;1077.29;698.92;1098.68;1179.28;1283.42
2000-12-14;1094.13;935.91;948.78;1221.46;1093.03;1048.71;686.18;1094.29;1153.1;1247.51
2000-12-15;1084.88;933.76;939.87;1218.02;1086.26;1021.2;663.89;1107.23;1143.41;1203.61
2000-12-18;1097.21;947.07;946.49;1235.07;1102.28;1022.25;663.89;1096.55;1155.2;1215.31
2000-12-19;1107.62;959.31;948.83;1262.1;1108.6;1030.96;667.08;1091.85;1169.86;1191.8
2000-12-20;1096.75;950.61;931.92;1262.68;1106.48;997.56;664.69;1094.43;1158.13;1068.78
2000-12-21;1088.77;949.42;928.79;1253.15;1085.28;995.5;678.22;1089.76;1160.2;1047.8
2000-12-22;1095.25;952.74;940.69;1259.2;1086.06;1012.9;678.22;1111.39;1164.96;1121.28
2000-12-27;1109.67;964.59;948.54;1270.12;1110.08;1030.76;676.63;1104.69;1172.91;1160.59
2000-12-28;1120.47;973.56;960.2;1274.56;1124.74;1044.43;665.48;1118.3;1181.49;1188.64
2000-12-29;1119.11;977.15;965.72;1273.6;1118.04;1053.47;671.06;1112.34;1179.93;1193.4
2001-01-03;1115.26;981.67;935.63;1281.99;1135.24;999.17;655.14;1113.49;1172.63;1111.12
2001-01-04;1115.64;982.65;959.88;1218.15;1103.36;1000.8;681.41;1099.65;1214.84;1159.07
2001-01-05;1099.37;992.28;962.39;1200.84;1074.8;998.76;681.41;1108.48;1197.31;1146.06
2001-01-08;1098.11;1008.81;971.36;1218.2;1057.53;984.87;679.02;1105.97;1201.23;1147.19
2001-01-09;1094.7;1005.33;978.01;1209.44;1053.67;985.26;684.59;1112.85;1194.47;1154.02
2001-01-10;1083.41;997.61;967.93;1174.08;1040.79;990.75;684.59;1122.66;1187.78;1160.96
2001-01-11;1084.98;995.44;949.34;1162.8;1046.65;1006.21;702.9;1100.38;1193.62;1190.44
2001-01-12;1083.27;986.14;952.77;1153.81;1043.45;1011.61;709.27;1097.98;1192.28;1207.69
2001-01-15;1084.86;988.78;954.52;1177.67;1044.08;1033.49;725.19;1105.91;1183.81;1196.73
2001-01-16;1085.36;989.33;950.15;1185.44;1042.27;1043.25;706.88;1129.06;1186.29;1177.73
