"%Y-%m-%d %H:%M:%S";"BID"
1998-03-24 07:11:06;1.8296
1998-03-24 07:12:38;1.8293
1998-03-24 07:42:48;1.8286
1998-03-24 07:48:42;1.8281
1998-03-24 07:58:56;1.8276
1998-03-24 08:15:30;1.8271
1998-03-24 09:06:52;1.8269
1998-03-24 09:24:28;1.8265
1998-03-24 09:35:02;1.8278
1998-03-24 09:37:16;1.8283
1998-03-24 09:53:00;1.8283
1998-03-24 09:54:12;1.828
1998-03-24 10:02:26;1.8284
1998-03-24 10:05:26;1.8282
1998-03-24 10:24:46;1.827
1998-03-24 10:35:10;1.8265
1998-03-24 10:36:06;1.8262
1998-03-24 10:49:20;1.8278
1998-03-24 10:51:14;1.8282
1998-03-24 10:54:06;1.8287
1998-03-24 10:56:28;1.8289
1998-03-24 11:14:44;1.8289
1998-03-24 11:16:38;1.8287
1998-03-24 20:14:54;1.8278
1998-03-24 21:12:20;1.8268
1998-03-25 01:34:48;1.8277
1998-03-25 03:03:58;1.8282
1998-03-25 03:05:32;1.8282
1998-03-25 03:28:12;1.8274
1998-03-25 03:32:00;1.8271
1998-03-25 03:33:44;1.8273
1998-03-25 03:37:10;1.8273
1998-03-25 03:38:46;1.8276
1998-03-25 03:46:56;1.8271
1998-03-25 03:59:46;1.8273
1998-03-25 04:01:34;1.8271
1998-03-25 05:19:36;1.8279
1998-03-25 05:21:28;1.8285
1998-03-25 06:00:56;1.8282
1998-03-25 06:05:46;1.8282
1998-03-25 06:21:58;1.8289
1998-03-25 06:29:12;1.8294
1998-03-25 06:37:28;1.8313
1998-03-25 06:39:34;1.8312
1998-03-25 06:48:56;1.8302
1998-03-25 06:54:14;1.8304
1998-03-25 07:13:46;1.831
1998-03-25 07:26:30;1.8304
1998-03-25 07:28:30;1.831
1998-03-25 07:33:54;1.8306
1998-03-25 07:40:16;1.83
1998-03-25 08:27:12;1.8305
1998-03-25 08:37:00;1.8302
1998-03-25 08:37:06;1.8299
1998-03-25 08:46:40;1.8309
1998-03-25 09:10:28;1.8302
1998-03-25 09:22:44;1.8302
1998-03-25 09:28:36;1.8303
1998-03-25 09:30:04;1.8308
1998-03-25 10:05:50;1.825
1998-03-25 10:21:38;1.8254
1998-03-25 10:47:02;1.8268
1998-03-25 11:01:16;1.8264
1998-03-25 11:01:32;1.8263
1998-03-25 11:13:32;1.8259
1998-03-25 11:36:00;1.8262
1998-03-25 11:44:26;1.8265
1998-03-25 12:28:42;1.8299
1998-03-25 14:06:32;1.826
1998-03-25 19:59:06;1.827
1998-03-26 02:11:04;1.8272
1998-03-26 02:57:30;1.8272
1998-03-26 03:11:24;1.8277
1998-03-26 03:16:48;1.8282
1998-03-26 03:26:42;1.8282
1998-03-26 03:30:48;1.8279
1998-03-26 04:13:22;1.8285
1998-03-26 04:18:50;1.8284
1998-03-26 04:34:58;1.8277
1998-03-26 05:02:50;1.8282
1998-03-26 05:19:24;1.8285
1998-03-26 05:22:08;1.8286
1998-03-26 05:24:32;1.8287
1998-03-26 05:27:20;1.8284
1998-03-26 06:52:32;1.8266
1998-03-26 06:54:02;1.8279
1998-03-26 07:06:24;1.8282
1998-03-26 07:27:04;1.8282
1998-03-26 07:35:06;1.8277
1998-03-26 07:36:36;1.8275
1998-03-26 07:55:34;1.8276
1998-03-26 08:14:04;1.826
1998-03-26 08:17:48;1.8266
1998-03-26 08:24:34;1.8263
1998-03-26 08:26:58;1.8263
1998-03-26 08:29:24;1.8259
1998-03-26 08:34:08;1.8255
1998-03-26 08:37:42;1.8267
1998-03-26 08:41:08;1.8263
1998-03-26 08:42:16;1.8262
1998-03-26 08:58:40;1.8256
1998-03-26 09:01:50;1.827
1998-03-26 09:08:50;1.8265
1998-03-26 09:19:24;1.8252
1998-03-26 09:45:12;1.8259
1998-03-26 10:02:20;1.826
1998-03-26 10:12:44;1.8264
1998-03-26 10:14:18;1.826
1998-03-26 10:16:56;1.8258
1998-03-26 10:18:04;1.8259
1998-03-26 10:25:52;1.8254
1998-03-26 10:34:14;1.8251
1998-03-26 10:41:28;1.826
1998-03-26 10:44:42;1.8257
1998-03-26 10:46:04;1.8255
1998-03-26 10:47:42;1.825
1998-03-26 10:49:38;1.8243
1998-03-26 10:51:18;1.8242
1998-03-26 10:54:08;1.8225
1998-03-26 10:55:34;1.8224
1998-03-26 11:04:26;1.8234
1998-03-26 13:52:50;1.8209
1998-03-26 17:36:34;1.8207
1998-03-26 23:39:40;1.82
1998-03-27 01:38:48;1.8215
1998-03-27 02:00:24;1.822
1998-03-27 02:13:26;1.8216
1998-03-27 02:52:30;1.8211
1998-03-27 03:07:42;1.8211
1998-03-27 03:49:58;1.8206
1998-03-27 03:53:52;1.8206
1998-03-27 03:56:22;1.8207
1998-03-27 04:05:06;1.8204
1998-03-27 04:13:06;1.8206
1998-03-27 04:14:04;1.8206
1998-03-27 04:15:24;1.8203
1998-03-27 04:32:00;1.8193
1998-03-27 04:40:30;1.8197
1998-03-27 04:52:12;1.8191
1998-03-27 05:25:12;1.8202
1998-03-27 05:35:20;1.8202
1998-03-27 06:38:32;1.8198
1998-03-27 06:46:46;1.8211
1998-03-27 07:08:52;1.8215
1998-03-27 07:56:30;1.8212
1998-03-27 08:03:48;1.8215
1998-03-27 08:04:38;1.8209
1998-03-27 08:21:36;1.8229
1998-03-27 08:23:42;1.8226
1998-03-27 08:51:02;1.8237
1998-03-27 09:24:32;1.825
1998-03-27 09:31:26;1.8285
1998-03-27 09:33:26;1.828
1998-03-27 09:52:14;1.8277
1998-03-27 09:56:02;1.8281
1998-03-27 10:11:12;1.827
1998-03-27 10:34:46;1.8272
1998-03-27 10:42:14;1.828
1998-03-27 10:52:42;1.8284
1998-03-27 11:04:12;1.8275
1998-03-27 11:09:22;1.8267
1998-03-27 11:20:50;1.826
1998-03-27 11:22:24;1.8264
1998-03-27 11:36:48;1.8251
1998-03-27 11:43:02;1.8252
1998-03-27 12:33:32;1.827
1998-03-27 13:29:28;1.826
