date;recession;tbills3m;tbonds10y;xri
197109;0;4.69;6.14;0.03
197110;0;4.46;5.93;0.02
197111;0;4.22;5.81;0.01
197112;0;4.01;5.93;0.01
197201;0;3.38;5.95;0.01
197202;0;3.2;6.08;0.01
197203;0;3.73;6.07;0.01
197204;0;3.71;6.19;0.01
197205;0;3.69;6.13;0.01
197206;0;3.91;6.11;0.01
197207;0;3.98;6.11;0.01
197208;0;4.02;6.21;0.01
197209;0;4.66;6.55;0.01
197210;0;4.74;6.48;0.01
197211;0;4.78;6.28;0.01
197212;0;5.07;6.36;0.01
197301;0;5.41;6.46;0.01
197302;0;5.6;6.64;0.03
197303;0;6.09;6.71;0.08
197304;0;6.26;6.67;0.11
197305;0;6.36;6.85;0.09
197306;0;7.19;6.9;0.26
197307;0;8.01;7.13;0.7
197308;0;8.67;7.4;0.85
197309;0;8.29;7.09;0.65
197310;0;7.22;6.79;0.4
197311;1;7.83;6.73;0.33
197312;1;7.45;6.74;0.2
197401;1;7.77;6.99;0.11
197402;1;7.12;6.96;0.17
197403;1;7.96;7.21;0.44
197404;1;8.33;7.51;0.88
197405;1;8.23;7.58;0.96
197406;1;7.9;7.54;1
197407;1;7.55;7.81;0.99
197408;1;8.96;8.04;0.99
197409;1;8.06;8.04;0.96
197410;1;7.46;7.9;0.9
197411;1;7.47;7.68;0.96
197412;1;7.15;7.43;0.84
197501;1;6.26;7.5;0.82
197502;1;5.5;7.39;0.8
197503;1;5.49;7.73;0.7
197504;0;5.61;8.23;0.27
197505;0;5.23;8.06;0.04
197506;0;5.34;7.86;0.02
197507;0;6.13;8.06;0.01
197508;0;6.44;8.4;0.01
197509;0;6.42;8.43;0.01
197510;0;5.96;8.14;0.01
197511;0;5.48;8.05;0.01
197512;0;5.44;8;0.01
197601;0;4.87;7.74;0.01
197602;0;4.88;7.79;0.01
197603;0;5;7.73;0.01
197604;0;4.86;7.56;0.01
197605;0;5.2;7.9;0.01
197606;0;5.41;7.86;0.01
197607;0;5.23;7.83;0.01
197608;0;5.14;7.77;0.01
197609;0;5.08;7.59;0.01
197610;0;4.92;7.41;0.01
197611;0;4.75;7.29;0.01
197612;0;4.35;6.87;0.01
197701;0;4.62;7.21;0.01
197702;0;4.67;7.39;0.01
197703;0;4.6;7.46;0.01
197704;0;4.54;7.37;0.01
197705;0;4.96;7.46;0.01
197706;0;5.02;7.28;0.01
197707;0;5.19;7.33;0.01
197708;0;5.49;7.4;0.01
197709;0;5.81;7.34;0.02
197710;0;6.16;7.52;0.02
197711;0;6.1;7.58;0.02
197712;0;6.07;7.69;0.02
197801;0;6.44;7.96;0.05
197802;0;6.45;8.03;0.05
197803;0;6.29;8.04;0.04
197804;0;6.29;8.15;0.03
197805;0;6.41;8.35;0.05
197806;0;6.73;8.46;0.04
197807;0;7.01;8.64;0.12
197808;0;7.08;8.41;0.16
197809;0;7.85;8.42;0.2
197810;0;7.99;8.64;0.27
197811;0;8.64;8.81;0.2
197812;0;9.08;9.01;0.12
197901;0;9.35;9.1;0.32
197902;0;9.32;9.1;0.26
197903;0;9.48;9.12;0.05
197904;0;9.46;9.18;0.07
197905;0;9.61;9.25;0.07
197906;0;9.06;8.91;0.1
197907;0;9.24;8.95;0.27
197908;0;9.52;9.03;0.61
197909;0;10.26;9.33;0.82
197910;0;11.7;10.3;0.95
197911;0;11.79;10.65;0.96
197912;0;12.04;10.39;0.91
198001;1;12;10.8;0.88
198002;1;12.86;12.41;0.99
198003;1;15.2;12.75;0.99
198004;1;13.2;11.47;0.66
198005;1;8.58;10.18;0.57
198006;1;7.07;9.78;0.34
198007;1;8.06;10.25;0.31
198008;0;9.13;11.1;0.32
198009;0;10.27;11.51;0.28
198010;0;11.62;11.75;0.56
198011;0;13.73;12.68;0.9
198012;0;15.49;12.84;0.75
198101;0;15.02;12.57;0.49
198102;0;14.79;13.19;0.34
198103;0;13.36;13.12;0.33
198104;0;13.69;13.68;0.74
198105;0;16.3;14.1;0.7
198106;0;14.73;13.47;0.85
198107;1;14.95;14.28;0.89
198108;1;15.51;14.94;0.9
198109;1;14.7;15.32;0.83
198110;1;13.54;15.15;0.63
198111;1;10.86;13.39;0.53
198112;1;10.85;13.72;0.56
198201;1;12.28;14.59;0.74
198202;1;13.48;14.43;0.44
198203;1;12.68;13.86;0.43
198204;1;12.7;13.87;0.47
198205;1;12.09;13.62;0.62
198206;1;12.47;14.3;0.65
198207;1;11.35;13.95;0.28
198208;1;8.68;13.06;0.55
198209;1;7.92;12.34;0.27
198210;1;7.71;10.91;0.09
198211;1;8.07;10.55;0.07
198212;0;7.94;10.54;0.01
198301;0;7.86;10.46;0.01
198302;0;8.11;10.72;0.01
198303;0;8.35;10.51;0.01
198304;0;8.21;10.4;0.01
198305;0;8.19;10.38;0.01
198306;0;8.79;10.85;0.01
198307;0;9.08;11.38;0.01
198308;0;9.34;11.85;0.01
198309;0;9;11.65;0.01
198310;0;8.64;11.54;0.01
198311;0;8.76;11.69;0.01
198312;0;9;11.83;0.01
198401;0;8.9;11.67;0.01
198402;0;9.09;11.84;0.01
198403;0;9.52;12.32;0.01
198404;0;9.69;12.63;0.01
198405;0;9.83;13.41;0.03
198406;0;9.87;13.56;0.02
198407;0;10.12;13.36;0.03
198408;0;10.47;12.72;0.02
198409;0;10.37;12.52;0.02
198410;0;9.74;12.16;0.02
198411;0;8.61;11.57;0.01
198412;0;8.06;11.5;0.01
198501;0;7.76;11.38;0.01
198502;0;8.27;11.51;0.01
198503;0;8.52;11.86;0.01
198504;0;7.95;11.43;0.01
198505;0;7.48;10.85;0.01
198506;0;6.95;10.16;0.01
198507;0;7.08;10.31;0.01
198508;0;7.14;10.33;0.01
198509;0;7.1;10.37;0.01
198510;0;7.16;10.24;0.03
198511;0;7.24;9.78;0.06
198512;0;7.1;9.26;0.04
198601;0;7.07;9.19;0.04
198602;0;7.06;8.7;0.09
198603;0;6.56;7.78;0.05
198604;0;6.06;7.3;0.04
198605;0;6.15;7.71;0.16
198606;0;6.21;7.8;0.28
198607;0;5.83;7.3;0.12
198608;0;5.53;7.17;0.05
198609;0;5.21;7.45;0.05
198610;0;5.18;7.43;0.08
198611;0;5.35;7.25;0.1
198612;0;5.53;7.11;0.03
198701;0;5.43;7.08;0.09
198702;0;5.59;7.25;0.12
198703;0;5.59;7.25;0.15
198704;0;5.64;8.02;0.36
198705;0;5.66;8.61;0.39
198706;0;5.67;8.4;0.15
198707;0;5.69;8.45;0.06
198708;0;6.04;8.76;0.13
198709;0;6.4;9.42;0.46
198710;0;6.13;9.52;0.33
198711;0;5.69;8.86;0.39
198712;0;5.77;8.99;0.17
198801;0;5.81;8.67;0.14
198802;0;5.66;8.21;0.03
198803;0;5.7;8.37;0.03
198804;0;5.91;8.72;0.05
198805;0;6.26;9.09;0.07
198806;0;6.46;8.92;0.05
198807;0;6.73;9.06;0.09
198808;0;7.06;9.26;0.09
198809;0;7.24;8.98;0.1
198810;0;7.35;8.8;0.07
198811;0;7.76;8.96;0.13
198812;0;8.07;9.11;0.13
198901;0;8.27;9.09;0.12
198902;0;8.53;9.17;0.19
198903;0;8.82;9.36;0.24
198904;0;8.65;9.18;0.1
198905;0;8.43;8.86;0.08
198906;0;8.15;8.28;0.09
198907;0;7.88;8.02;0.19
198908;0;7.9;8.11;0.19
198909;0;7.75;8.19;0.25
198910;0;7.64;8.01;0.13
198911;0;7.69;7.87;0.1
198912;0;7.63;7.84;0.05
199001;0;7.64;8.21;0.03
199002;0;7.74;8.47;0.1
199003;0;7.9;8.59;0.15
199004;0;7.77;8.79;0.24
199005;0;7.74;8.76;0.22
199006;0;7.73;8.48;0.13
199007;1;7.62;8.47;0.12
199008;1;7.45;8.75;0.16
199009;1;7.36;8.89;0.4
199010;1;7.17;8.72;0.48
199011;1;7.06;8.39;0.52
199012;1;6.74;8.08;0.44
199101;1;6.22;8.09;0.4
199102;1;5.94;7.85;0.31
199103;1;5.91;8.11;0.19
199104;0;5.65;8.04;0.14
199105;0;5.46;8.07;0.07
199106;0;5.57;8.28;0.06
199107;0;5.58;8.27;0.03
199108;0;5.33;7.9;0.03
199109;0;5.22;7.65;0.04
199110;0;4.99;7.53;0.06
199111;0;4.56;7.42;0.08
199112;0;4.07;7.09;0.03
199201;0;3.8;7.03;0.01
199202;0;3.84;7.34;0.01
199203;0;4.04;7.54;0.01
199204;0;3.75;7.48;0.01
199205;0;3.63;7.39;0.02
199206;0;3.66;7.26;0.02
199207;0;3.21;6.84;0.02
199208;0;3.13;6.59;0.03
199209;0;2.91;6.42;0.01
199210;0;2.86;6.59;0.01
199211;0;3.13;6.87;0.01
199212;0;3.22;6.77;0.01
199301;0;3;6.6;0.01
199302;0;2.93;6.26;0.01
199303;0;2.95;5.98;0.04
199304;0;2.87;5.97;0.04
199305;0;2.96;6.04;0.04
199306;0;3.07;5.96;0.03
199307;0;3.04;5.81;0.02
199308;0;3.02;5.68;0.02
199309;0;2.95;5.36;0.02
199310;0;3.02;5.33;0.01
199311;0;3.1;5.72;0.01
199312;0;3.06;5.77;0.01
199401;0;2.98;5.75;0.01
199402;0;3.25;5.97;0.01
199403;0;3.5;6.48;0.02
199404;0;3.68;6.97;0.04
199405;0;4.14;7.18;0.08
199406;0;4.14;7.1;0.08
199407;0;4.33;7.3;0.08
199408;0;4.48;7.24;0.05
199409;0;4.62;7.46;0.05
199410;0;4.95;7.74;0.06
199411;0;5.29;7.96;0.17
199412;0;5.6;7.81;0.09
199501;0;5.71;7.78;0.07
199502;0;5.77;7.47;0.08
199503;0;5.73;7.2;0.11
199504;0;5.65;7.06;0.1
199505;0;5.67;6.63;0.09
199506;0;5.47;6.17;0.05
199507;0;5.42;6.28;0.05
199508;0;5.4;6.49;0.05
199509;0;5.28;6.2;0.08
199510;0;5.28;6.04;0.08
199511;0;5.36;5.93;0.07
199512;0;5.14;5.71;0.04
199601;0;5;5.65;0.03
199602;0;4.83;5.81;0.02
199603;0;4.96;6.27;0.06
199604;0;4.95;6.51;0.07
199605;0;5.02;6.74;0.05
199606;0;5.09;6.91;0.03
199607;0;5.15;6.87;0.04
199608;0;5.05;6.64;0.05
199609;0;5.09;6.83;0.06
199610;0;4.99;6.53;0.03
199611;0;5.03;6.2;0.02
199612;0;4.91;6.3;0.02
199701;0;5.03;6.58;0.03
199702;0;5.01;6.42;0.04
199703;0;5.14;6.69;0.06
199704;0;5.16;6.89;0.1
199705;0;5.05;6.71;0.13
199706;0;4.93;6.49;0.06
199707;0;5.05;6.22;0.02
199708;0;5.14;6.3;0.03
199709;0;4.95;6.21;0.04
199710;0;4.97;6.03;0.05
199711;0;5.14;5.88;0.05
199712;0;5.16;5.81;0.04
199801;0;5.04;5.54;0.02
199802;0;5.09;5.57;0.03
199803;0;5.03;5.65;0.05
199804;0;4.95;5.64;0.06
199805;0;5;5.65;0.07
199806;0;4.98;5.5;0.09
199807;0;4.96;5.46;0.11
199808;0;4.9;5.34;0.08
199809;0;4.61;4.81;0.12
199810;0;3.96;4.53;0.06
199811;0;4.41;4.83;0.09
199812;0;4.39;4.65;0.09
199901;0;4.34;4.72;0.07
199902;0;4.44;5;0.07
199903;0;4.44;5.23;0.09
199904;0;4.29;5.18;0.06
199905;0;4.5;5.54;0.04
199906;0;4.57;5.9;0.05
199907;0;4.55;5.79;0.07
199908;0;4.72;5.94;0.08
199909;0;4.68;5.92;0.2
199910;0;4.86;6.11;0.09
199911;0;5.07;6.03;0.07
199912;0;5.2;6.28;0.05
200001;0;5.32;6.66;0.04
200002;0;5.55;6.52;0.04
200003;0;5.69;6.26;0.04
200004;0;5.66;5.99;0.05
200005;0;5.79;6.44;0.13
200006;0;5.69;6.1;0.06
200007;0;5.96;6.05;0.05
200008;0;6.09;5.83;0.05
200009;0;6;5.8;0.05
200010;0;6.11;5.74;0.07
200011;0;6.17;5.72;0.1
200012;0;5.77;5.24;0.07
200101;0;5.15;5.16;0.05
200102;0;4.88;5.1;0.06
200103;0;4.42;4.89;0.05
200104;0;3.87;5.14;0.06
200105;0;3.62;5.39;0.08
200106;0;3.49;5.28;0.22
200107;0;3.51;5.24;0.2
200108;0;3.36;4.97;0.08
200109;0;2.64;4.73;0.2
200110;0;2.16;4.57;0.28
200111;0;1.87;4.65;0.24
200112;0;1.69;5.09;0.07
200201;0;1.65;5.04;0.02
