Symbol;ISIN;Code;Name
BEKN;CH0009691608;CH0009691608CHF4;BEKB / BCBE N
BELN;CH0004410418;CH0004410418CHF4;BELL HLD AG N
BHI;US0572241075;US0572241075CHF4;BAKER HUGHES
BHP;CH0006403635;CH0006403635CHF4;BHP CT-CH
BIM;CH0026725611;CH0026725611CHF4;BONHOTE IMMOBILIER
BIOEE;CH0027659793;CH0027659793CHF4;BB BIOTECH N 2.LINIE
BION;CH0038389992;CH0038389992CHF4;BB BIOTECH N
BKWN;CH0021607004;CH0021607004CHF4;BKW FMB ENERGIE N
BLIN;CH0018206117;CH0018206117CHF4;BFW LIEGENSCHAFTEN N
BLKB;CH0001473559;CH0001473559CHF4;BASELLAND KB PS
BMRN;US09061G1013;US09061G1013CHF4;BIOMARIN N
BMW;DE0005190003;DE0005190003CHF4;BMW
BNP;FR0000131104;FR0000131104CHF4;BNP PARIBAS
BOBNN;CH0012684657;CH0012684657CHF4;BOBST GRP N
BON;CH0006227414;CH0006227414CHF4;BONDPARTNERS I
BOS;CH0012323868;CH0012323868CHF4;BOSSARD I
BPAM;GB0007980591;GB0007980591CHF4;BP
BRIC;IE00B1W57M07;IE00B1W57M07USD4;ISHARES FTSE BRIC 50
BRKN;CH0020327802;CH0020327802CHF4;BURKHALTER N
BSAN;CH0038389307;CH0038389307CHF4;SARASIN N-B-
BSKP;CH0009236461;CH0009236461CHF4;BASLER KB PS
BSLN;CH0011432447;CH0011432447CHF4;BASILEA N
BTTL;CH0016233691;CH0016233691CHF4;"BT&amp;T TIMELIFE"
BUCN;CH0002432174;CH0002432174CHF4;BUCHER N
BUD;US0352291035;US0352291035CHF4;ANHEUSER
BVM;DE0008022005;DE0008022005CHF4;"BAY HYP&amp;VERBK I"
BVZN;CH0008207356;CH0008207356CHF4;BVZ HOL N
BXLN;IT0004069933;IT0004069933CHF4;BIOXELL
C;US1729671016;US1729671016CHF4;CITIGROUP INC
C0001P;CH0022635129;CH0022635129;SWX ID OIL&GAS PR
C0001T;CH0022635152;CH0022635152;SWX ID OIL&GAS TR
C0500P;CH0022652884;CH0022652884;SWX SP OIL&GAS2 PR
C0500T;CH0022652926;CH0022652926;SWX SP OIL&GAS2 TR
C0530P;CH0022628215;CH0022628215;SWX SR OIL&GPROD PR
C0530T;CH0022627985;CH0022627985;SWX SR OIL&GPROD TR
C0533P;CH0022645375;CH0022645375;SWX SB EXPL&PROD PR
C0533T;CH0022645342;CH0022645342;SWX SB EXPL&PROD TR
C0537P;CH0022645508;CH0022645508;SWX SB INTOIL&GS PR
C0537T;CH0022645433;CH0022645433;SWX SB INTOIL&GS TR
C0570P;CH0022628454;CH0022628454;SWX SR OILES&DIS PR
C0570T;CH0022628363;CH0022628363;SWX SR OILES&DIS TR
C0573P;CH0022645557;CH0022645557;SWX SB OILEP&SRV PR
C0573T;CH0022645516;CH0022645516;SWX SB OILEP&SRV TR
C0577P;CH0022645631;CH0022645631;SWX SB PIPELINES PR
C0577T;CH0022645599;CH0022645599;SWX SB PIPELINES TR
C1000P;CH0022635186;CH0022635186;SWX ID BASICMAT PR
C1000T;CH0022635194;CH0022635194;SWX ID BASICMAT TR
C1300P;CH0022652991;CH0022652991;SWX SP CHEMICALS PR
C1300T;CH0022653098;CH0022653098;SWX SP CHEMICALS TR
C1350P;CH0022628637;CH0022628637;SWX SR CHEMICAL3 PR
C1350T;CH0022628538;CH0022628538;SWX SR CHEMICAL3 TR
C1353P;CH0022645680;CH0022645680;SWX SB COMCHEM PR
C1353T;CH0022645656;CH0022645656;SWX SB COMCHEM TR
C1357P;CH0022645789;CH0022645789;SWX SB SPECCHEM PR
C1357T;CH0022645722;CH0022645722;SWX SB SPECCHEM TR
C1700P;CH0022653130;CH0022653130;SWX SP BASICRES PR
C1700T;CH0022653338;CH0022653338;SWX SP BASICRES TR
C1730P;CH0022629288;CH0022629288;SWX SR FOR&PAPER PR
C1730T;CH0022629163;CH0022629163;SWX SR FOR&PAPER TR
C1733P;CH0022616046;CH0022616046;SWX SB FORESTRY PR
C1733T;CH0022645839;CH0022645839;SWX SB FORESTRY TR
C1737P;CH0022616137;CH0022616137;SWX SB PAPER PR
C1737T;CH0022616103;CH0022616103;SWX SB PAPER TR
C1750P;CH0022629536;CH0022629536;SWX SR INDMETALS PR
C1750T;CH0022629320;CH0022629320;SWX SR INDMETALS TR
C1753P;CH0022616236;CH0022616236;SWX SB ALUMINIUM PR
C1753T;CH0022616178;CH0022616178;SWX SB ALUMINIUM TR
C1755P;CH0022616343;CH0022616343;SWX SB NFERRMET PR
C1755T;CH0022616293;CH0022616293;SWX SB NFERRMET TR
C1757P;CH0022616426;CH0022616426;SWX SB STEEL PR
C1757T;CH0022616384;CH0022616384;SWX SB STEEL TR
C1770P;CH0022629627;CH0022629627;SWX SR MINING PR
C1770T;CH0022629585;CH0022629585;SWX SR MINING TR
C1771P;CH0022616483;CH0022616483;SWX SB COAL PR
C1771T;CH0022616467;CH0022616467;SWX SB COAL TR
C1773P;CH0022616533;CH0022616533;SWX SB DMDS&GEMS PR
C1773T;CH0022616517;CH0022616517;SWX SB DMDS&GEMS TR
C1775P;CH0022616582;CH0022616582;SWX SB GENMINING PR
C1775T;CH0022616566;CH0022616566;SWX SB GENMINING TR
C1777P;CH0022616640;CH0022616640;SWX SB GOLDMING PR
C1777T;CH0022616590;CH0022616590;SWX SB GOLDMING TR
C1779P;CH0022616673;CH0022616673;SWX SB PLAT&PRMT PR
C1779T;CH0022616665;CH0022616665;SWX SB PLAT&PRMT TR
C2000P;CH0022635202;CH0022635202;SWX ID INDUSTRY PR
C2000T;CH0022635210;CH0022635210;SWX ID INDUSTRY TR
C2300P;CH0022653437;CH0022653437;SWX SP CONST&MAT PR
C2300T;CH0022653494;CH0022653494;SWX SP CONST&MAT TR
C2350P;CH0022629759;CH0022629759;SWX SR CONST&MA3 PR
C2350T;CH0022629684;CH0022629684;SWX SR CONST&MA3 TR
C2353P;CH0022616715;CH0022616715;SWX SB BLDMAT&FX PR
C2353T;CH0022616707;CH0022616707;SWX SB BLDMAT&FX TR
C2357P;CH0022616764;CH0022616764;SWX SB HEAVYCONS PR
C2357T;CH0022616749;CH0022616749;SWX SB HEAVYCONS TR
C2700P;CH0022653544;CH0022653544;SWX SP IND GD&SV PR
C2700T;CH0022653585;CH0022653585;SWX SP IND GD&SV TR
C2710P;CH0022630070;CH0022630070;SWX SR AERO&DEF PR
C2710T;CH0022629783;CH0022629783;SWX SR AERO&DEF TR
C2713P;CH0022625526;CH0022625526;SWX SB AEROSPACE PR
C2713T;CH0022625435;CH0022625435;SWX SB AEROSPACE TR
C2717P;CH0022625633;CH0022625633;SWX SB DEFENSE PR
C2717T;CH0022625567;CH0022625567;SWX SB DEFENSE TR
C2720P;CH0022630179;CH0022630179;SWX SR GENINDUST PR
C2720T;CH0022630146;CH0022630146;SWX SR GENINDUST TR
C2723P;CH0022625757;CH0022625757;SWX SB CONT&PACK PR
C2723T;CH0022625716;CH0022625716;SWX SB CONT&PACK TR
C2727P;CH0022626177;CH0022626177;SWX SB DIVINDUST PR
C2727T;CH0022625807;CH0022625807;SWX SB DIVINDUST TR
C2730P;CH0022630542;CH0022630542;SWX SR ELC&EEQPT PR
C2730T;CH0022630468;CH0022630468;SWX SR ELC&EEQPT TR
C2733P;CH0022626318;CH0022626318;SWX SB ETCMP&EQP PR
C2733T;CH0022626250;CH0022626250;SWX SB ETCMP&EQP TR
C2737P;CH0022626540;CH0022626540;SWX SB ELCEQUIPT PR
C2737T;CH0022626466;CH0022626466;SWX SB ELCEQUIPT TR
C2750P;CH0022630757;CH0022630757;SWX SR INDENGING PR
C2750T;CH0022630674;CH0022630674;SWX SR INDENGING TR
C2753P;CH0022626649;CH0022626649;SWX SB CVEH&TRUC PR
C2753T;CH0022626607;CH0022626607;SWX SB CVEH&TRUC TR
C2757P;CH0022626870;CH0022626870;SWX SB INDMACHIN PR
C2757T;CH0022626821;CH0022626821;SWX SB INDMACHIN TR
C2770P;CH0022643305;CH0022643305;SWX SR INDTRANS PR
C2770T;CH0022643164;CH0022643164;SWX SR INDTRANS TR
C2771P;CH0022626938;CH0022626938;SWX SB DELSERV PR
C2771T;CH0022626904;CH0022626904;SWX SB DELSERV TR
C2773P;CH0022626995;CH0022626995;SWX SB MARINETRP PR
C2773T;CH0022626961;CH0022626961;SWX SB MARINETRP TR
C2775P;CH0022627084;CH0022627084;SWX SB RAILROADS PR
C2775T;CH0022627019;CH0022627019;SWX SB RAILROADS TR
C2777P;CH0022627183;CH0022627183;SWX SB TRANSSERV PR
C2777T;CH0022627118;CH0022627118;SWX SB TRANSSERV TR
C2779P;CH0022632548;CH0022632548;SWX SB TRUCKING PR
C2779T;CH0022627241;CH0022627241;SWX SB TRUCKING TR
C2790P;CH0022643743;CH0022643743;SWX SR SUPSERV PR
C2790T;CH0022643545;CH0022643545;SWX SR SUPSERV TR
C2791P;CH0022632613;CH0022632613;SWX SB BUSSPSERV PR
C2791T;CH0022632597;CH0022632597;SWX SB BUSSPSERV TR
C2793P;CH0022632670;CH0022632670;SWX SB BUSTR&EMA PR
C2793T;CH0022632639;CH0022632639;SWX SB BUSTR&EMA TR
C2795P;CH0022632738;CH0022632738;SWX SB FINADMIN PR
C2795T;CH0022632704;CH0022632704;SWX SB FINADMIN TR
C2797P;CH0022632761;CH0022632761;SWX SB INDSUPPLR PR
C2797T;CH0022632753;CH0022632753;SWX SB INDSUPPLR TR
C2799P;CH0022632829;CH0022632829;SWX SB WS&DSPSRV PR
C2799T;CH0022632803;CH0022632803;SWX SB WS&DSPSRV TR
C3000P;CH0022635277;CH0022635277;SWX ID CONGOODS PR
C3000T;CH0022635301;CH0022635301;SWX ID CONGOODS TR
C3300P;CH0022653619;CH0022653619;SWX SP AUTO&PART PR
C3300T;CH0022653643;CH0022653643;SWX SP AUTO&PART TR
C3350P;CH0022643883;CH0022643883;SWX SR AUTO&PAR3 PR
C3350T;CH0022643867;CH0022643867;SWX SR AUTO&PAR3 TR
C3353P;CH0022632852;CH0022632852;SWX SB AUTO PR
C3353T;CH0022632837;CH0022632837;SWX SB AUTO TR
C3355P;CH0022632894;CH0022632894;SWX SB AUTOPARTS PR
C3355T;CH0022632878;CH0022632878;SWX SB AUTOPARTS TR
C3357P;CH0022632977;CH0022632977;SWX SB TIRES PR
C3357T;CH0022632936;CH0022632936;SWX SB TIRES TR
C3500P;CH0022653718;CH0022653718;SWX SP FOOD&BEV PR
C3500T;CH0022653742;CH0022653742;SWX SP FOOD&BEV TR
C3530P;CH0022643982;CH0022643982;SWX SR BEVERAGES PR
C3530T;CH0022643925;CH0022643925;SWX SR BEVERAGES TR
C3533P;CH0022633033;CH0022633033;SWX SB BREWERS PR
C3533T;CH0022633009;CH0022633009;SWX SB BREWERS TR
C3535P;CH0022633124;CH0022633124;SWX SB DIST&VINT PR
C3535T;CH0022633082;CH0022633082;SWX SB DIST&VINT TR
C3537P;CH0022633231;CH0022633231;SWX SB SOFTDRINK PR
C3537T;CH0022633181;CH0022633181;SWX SB SOFTDRINK TR
C3570P;CH0022644089;CH0022644089;SWX SR FOODPROD PR
C3570T;CH0022644022;CH0022644022;SWX SR FOODPROD TR
C3573P;CH0022633330;CH0022633330;SWX SB FARM&FISH PR
C3573T;CH0022633298;CH0022633298;SWX SB FARM&FISH TR
C3577P;CH0022633447;CH0022633447;SWX SB FOODPRDCT PR
C3577T;CH0022633405;CH0022633405;SWX SB FOODPRDCT TR
C3700P;CH0022653841;CH0022653841;SWX SP PERS&GOOD PR
C3700T;CH0022653882;CH0022653882;SWX SP PERS&GOOD TR
C3720P;CH0022644162;CH0022644162;SWX SR HSHOLDGDS PR
C3720T;CH0022644121;CH0022644121;SWX SR HSHOLDGDS TR
C3722P;CH0022633538;CH0022633538;SWX SB DURHHPROD PR
C3722T;CH0022633470;CH0022633470;SWX SB DURHHPROD TR
C3724P;CH0022633942;CH0022633942;SWX SB NDUHHPROD PR
C3724T;CH0022633918;CH0022633918;SWX SB NDUHHPROD TR
C3726P;CH0022634031;CH0022634031;SWX SB FURNISH PR
C3726T;CH0022634007;CH0022634007;SWX SB FURNISH TR
C3728P;CH0022634106;CH0022634106;SWX SB HOMECONST PR
C3728T;CH0022634080;CH0022634080;SWX SB HOMECONST TR
C3740P;CH0022644220;CH0022644220;SWX SR LSRGOODS PR
C3740T;CH0022644204;CH0022644204;SWX SR LSRGOODS TR
C3743P;CH0022634163;CH0022634163;SWX SB CONSELECT PR
C3743T;CH0022634130;CH0022634130;SWX SB CONSELECT TR
C3745P;CH0022634205;CH0022634205;SWX SB RECREPROD PR
C3745T;CH0022634189;CH0022634189;SWX SB RECREPROD TR
C3747P;CH0022634262;CH0022634262;SWX SB TOYS PR
C3747T;CH0022634239;CH0022634239;SWX SB TOYS TR
C3760P;CH0022644303;CH0022644303;SWX SR PERSGOODS PR
C3760T;CH0022644261;CH0022644261;SWX SR PERSGOODS TR
C3763P;CH0022634320;CH0022634320;SWX SB CLOTH&ACC PR
C3763T;CH0022634296;CH0022634296;SWX SB CLOTH&ACC TR
C3765P;CH0022634429;CH0022634429;SWX SB FOOTWEAR PR
C3765T;CH0022634361;CH0022634361;SWX SB FOOTWEAR TR
C3767P;CH0022634510;CH0022634510;SWX SB PERSPROD PR
C3767T;CH0022634478;CH0022634478;SWX SB PERSPROD TR
C3780P;CH0022644378;CH0022644378;SWX SR TOBACCO PR
C3780T;CH0022644337;CH0022644337;SWX SR TOBACCO TR
C3785P;CH0022617929;CH0022617929;SWX SB TOBACCO4 PR
C3785T;CH0022634544;CH0022634544;SWX SB TOBACCO4 TR
C4000P;CH0022646969;CH0022646969;SWX ID HLTHCARE PR
C4000T;CH0022647017;CH0022647017;SWX ID HLTHCARE TR
C4500P;CH0022653916;CH0022653916;SWX SP HLTHCARE2 PR
C4500T;CH0022654005;CH0022654005;SWX SP HLTHCARE2 TR
C4530P;CH0022644592;CH0022644592;SWX SR HCEP&SERV PR
C4530T;CH0022644550;CH0022644550;SWX SR HCEP&SERV TR
C4533P;CH0022618307;CH0022618307;SWX SB HCAREPROV PR
C4533T;CH0022618182;CH0022618182;SWX SB HCAREPROV TR
C4535P;CH0022618463;CH0022618463;SWX SB MEDEQP PR
C4535T;CH0022618380;CH0022618380;SWX SB MEDEQP TR
C4537P;CH0022618828;CH0022618828;SWX SB MEDSUPPL PR
C4537T;CH0022618711;CH0022618711;SWX SB MEDSUPPL TR
C4570P;CH0022644642;CH0022644642;SWX SR PHARM&BIO PR
C4570T;CH0022644634;CH0022644634;SWX SR PHARM&BIO TR
C4573P;CH0022619180;CH0022619180;SWX SB BIOTECH PR
C4573T;CH0022618943;CH0022618943;SWX SB BIOTECH TR
C4577P;CH0022619214;CH0022619214;SWX SB PHARMACTL PR
C4577T;CH0022619206;CH0022619206;SWX SB PHARMACTL TR
C5000P;CH0022647132;CH0022647132;SWX ID CONSERV PR
C5000T;CH0022647256;CH0022647256;SWX ID CONSERV TR
C5300P;CH0022654070;CH0022654070;SWX SP RETAIL PR
C5300T;CH0022654112;CH0022654112;SWX SP RETAIL TR
C5330P;CH0022644683;CH0022644683;SWX SR FD&DGRET PR
C5330T;CH0022644667;CH0022644667;SWX SR FD&DGRET TR
C5333P;CH0022635111;CH0022635111;SWX SB DRUGRET PR
C5333T;CH0022619230;CH0022619230;SWX SB DRUGRET TR
C5337P;CH0022635327;CH0022635327;SWX SB FDRET&WLS PR
C5337T;CH0022635160;CH0022635160;SWX SB FDRET&WLS TR
C5370P;CH0022644774;CH0022644774;SWX SR GENRLRET PR
C5370T;CH0022644766;CH0022644766;SWX SR GENRLRET TR
C5371P;CH0022648262;CH0022648262;SWX SB APPARELRT PR
C5371T;CH0022648254;CH0022648254;SWX SB APPARELRT TR
C5373P;CH0022650102;CH0022650102;SWX SB BROADLRET PR
C5373T;CH0022648288;CH0022648288;SWX SB BROADLRET TR
C5375P;CH0022650151;CH0022650151;SWX SB HOMEIMPRT PR
C5375T;CH0022650136;CH0022650136;SWX SB HOMEIMPRT TR
C5377P;CH0022650185;CH0022650185;SWX SB SPCONSSRV PR
C5377T;CH0022650177;CH0022650177;SWX SB SPCONSSRV TR
C5379P;CH0022650219;CH0022650219;SWX SB SPRETAIL PR
C5379T;CH0022650193;CH0022650193;SWX SB SPRETAIL TR
C5500P;CH0022654203;CH0022654203;SWX SP MEDIA PR
C5500T;CH0022654252;CH0022654252;SWX SP MEDIA TR
C5550P;CH0022644824;CH0022644824;SWX SR MEDIA3 PR
C5550T;CH0022644782;CH0022644782;SWX SR MEDIA3 TR
C5553P;CH0022650656;CH0022650656;SWX SB BROADETMT PR
C5553T;CH0022650607;CH0022650607;SWX SB BROADETMT TR
C5555P;CH0022650714;CH0022650714;SWX SB MEDIAAG PR
C5555T;CH0022650680;CH0022650680;SWX SB MEDIAAG TR
C5557P;CH0022650821;CH0022650821;SWX SB PUBLISHIN PR
C5557T;CH0022650771;CH0022650771;SWX SB PUBLISHIN TR
C5700P;CH0022654336;CH0022654336;SWX SP TRA&LEIS PR
C5700T;CH0022654401;CH0022654401;SWX SP TRA&LEIS TR
C5750P;CH0022644857;CH0022644857;SWX SR TRA&LEIS3 PR
C5750T;CH0022644832;CH0022644832;SWX SR TRA&LEIS3 TR
C5751P;CH0022650896;CH0022650896;SWX SB AIRLINES PR
C5751T;CH0022650847;CH0022650847;SWX SB AIRLINES TR
C5752P;CH0022651126;CH0022651126;SWX SB GAMBLING PR
C5752T;CH0022651100;CH0022651100;SWX SB GAMBLING TR
C5753P;CH0022651258;CH0022651258;SWX SB HOTELS PR
C5753T;CH0022651159;CH0022651159;SWX SB HOTELS TR
C5755P;CH0022651423;CH0022651423;SWX SB RECSERV PR
C5755T;CH0022651332;CH0022651332;SWX SB RECSERV TR
C5757P;CH0022651530;CH0022651530;SWX SB REST&BARS PR
C5757T;CH0022651506;CH0022651506;SWX SB REST&BARS TR
C5759P;CH0022651654;CH0022651654;SWX SB TRAV&TOUR PR
C5759T;CH0022651571;CH0022651571;SWX SB TRAV&TOUR TR
C6000P;CH0022647389;CH0022647389;SWX ID TELECOM PR
C6000T;CH0022647405;CH0022647405;SWX ID TELECOM TR
C6500P;CH0022654468;CH0022654468;SWX SP TELECOM2 PR
C6500T;CH0022654500;CH0022654500;SWX SP TELECOM2 TR
C6530P;CH0022644873;CH0022644873;SWX SR FIXEDLTEL PR
C6530T;CH0022644865;CH0022644865;SWX SR FIXEDLTEL TR
C6535P;CH0022651761;CH0022651761;SWX SB FIXEDLTE4 PR
C6535T;CH0022651712;CH0022651712;SWX SB FIXEDLTE4 TR
C6570P;CH0022644899;CH0022644899;SWX SR MOBILETEL PR
C6570T;CH0022644881;CH0022644881;SWX SR MOBILETEL TR
C6575P;CH0022651845;CH0022651845;SWX SB MOBILETE4 PR
C6575T;CH0022651803;CH0022651803;SWX SB MOBILETE4 TR
C7000P;CH0022647793;CH0022647793;SWX ID UTILITIES PR
C7000T;CH0022647835;CH0022647835;SWX ID UTILITIES TR
C7500P;CH0022628124;CH0022628124;SWX SP UTILITIE2 PR
C7500T;CH0022626888;CH0022626888;SWX SP UTILITIE2 TR
C7530P;CH0022644915;CH0022644915;SWX SR ELECTRCTY PR
C7530T;CH0022644907;CH0022644907;SWX SR ELECTRCTY TR
C7535P;CH0022617168;CH0022617168;SWX SB ELECTRCT4 PR
C7535T;CH0022651894;CH0022651894;SWX SB ELECTRCT4 TR
C7570P;CH0022644956;CH0022644956;SWX SR GASWAT&MU PR
C7570T;CH0022644931;CH0022644931;SWX SR GASWAT&MU TR
C7573P;CH0022617408;CH0022617408;SWX SB GASDISTRB PR
C7573T;CH0022617325;CH0022617325;SWX SB GASDISTRB TR
C7575P;CH0022617481;CH0022617481;SWX SB MULTIUTIL PR
C7575T;CH0022617440;CH0022617440;SWX SB MULTIUTIL TR
C7577P;CH0022617572;CH0022617572;SWX SB WATER PR
C7577T;CH0022617507;CH0022617507;SWX SB WATER TR
C8000P;CH0022647850;CH0022647850;SWX ID FINANCE PR
C8000T;CH0022647934;CH0022647934;SWX ID FINANCE TR
C8300P;CH0022626714;CH0022626714;SWX SP BANKS PR
C8300T;CH0022627290;CH0022627290;SWX SP BANKS TR
C8350P;CH0022645011;CH0022645011;SWX SR BANKS3 PR
C8350T;CH0022644972;CH0022644972;SWX SR BANKS3 TR
C8355P;CH0022617655;CH0022617655;SWX SB BANKS4 PR
C8355T;CH0022617606;CH0022617606;SWX SB BANKS4 TR
C8500P;CH0022627449;CH0022627449;SWX SP INSURANCE PR
C8500T;CH0022627704;CH0022627704;SWX SP INSURANCE TR
C8530P;CH0022645060;CH0022645060;SWX SR NLIFEINS PR
C8530T;CH0022645045;CH0022645045;SWX SR NLIFEINS TR
C8532P;CH0022617838;CH0022617838;SWX SB FLINEINS PR
C8532T;CH0022617713;CH0022617713;SWX SB FLINEINS TR
C8534P;CH0022617960;CH0022617960;SWX SB INSBROKER PR
C8534T;CH0022617903;CH0022617903;SWX SB INSBROKER TR
C8536P;CH0022618067;CH0022618067;SWX SB PR&CASINS PR
C8536T;CH0022618034;CH0022618034;SWX SB PR&CASINS TR
C8538P;CH0022618125;CH0022618125;SWX SB REINSURE PR
C8538T;CH0022618109;CH0022618109;SWX SB REINSURE TR
C8570P;CH0022645110;CH0022645110;SWX SR LIFEINS PR
C8570T;CH0022645094;CH0022645094;SWX SR LIFEINS TR
C8575P;CH0022618216;CH0022618216;SWX SB LIFEINS4 PR
C8575T;CH0022618166;CH0022618166;SWX SB LIFEINS4 TR
C8700P;CH0022627779;CH0022627779;SWX SP FINSERV PR
C8700T;CH0022627845;CH0022627845;SWX SP FINSERV TR
C8730P;CH0022645177;CH0022645177;SWX SR REALESTAT PR
C8730T;CH0022645151;CH0022645151;SWX SR REALESTAT TR
C8733P;CH0022631607;CH0022631607;SWX SB REHLD&DEV PR
C8733T;CH0022631565;CH0022631565;SWX SB REHLD&DEV TR
C8737P;CH0022631714;CH0022631714;SWX SB REINVTRUS PR
C8737T;CH0022631649;CH0022631649;SWX SB REINVTRUS TR
C8770P;CH0022645219;CH0022645219;SWX SR GENFINANC PR
C8770T;CH0022645193;CH0022645193;SWX SR GENFINANC TR
C8771P;CH0022631763;CH0022631763;SWX SB ASSET MNGR PR
C8771T;CH0022631748;CH0022631748;SWX SB ASSETMNGR TR
C8773P;CH0022631870;CH0022631870;SWX SB CONSFIN PR
C8773T;CH0022631805;CH0022631805;SWX SB CONSFIN TR
C8775P;CH0022631961;CH0022631961;SWX SB SPECFIN PR
C8775T;CH0022631920;CH0022631920;SWX SB SPECFIN TR
C8777P;CH0022632043;CH0022632043;SWX SB INVSERV PR
C8777T;CH0022631995;CH0022631995;SWX SB INVSERV TR
C8779P;CH0022632118;CH0022632118;SWX SB MORTGFIN PR
C8779T;CH0022632068;CH0022632068;SWX SB MORTGFIN TR
C8980P;CH0023524223;CH0023524223;SWX SR EQINVINS PR
C8980T;CH0023524249;CH0023524249;SWX SR EQINVINS TR
C8985P;CH0023524314;CH0023524314;SWX SB EQINVIN2 PR
C8985T;CH0023524355;CH0023524355;SWX SB EQINVIN2 TR
C8990P;CH0023524272;CH0023524272;SWX SR NEQINVINS PR
C8990T;CH0023524298;CH0023524298;SWX SR NEQINVINS TR
C8995P;CH0023524397;CH0023524397;SWX SB NEQINVIN2 PR
C8995T;CH0023524421;CH0023524421;SWX SB NEQINVIN2 TR
C9000P;CH0022647942;CH0022647942;SWX ID TECH PR
C9000T;CH0022652785;CH0022652785;SWX ID TECH TR
C9500P;CH0022627886;CH0022627886;SWX SP TECH2 PR
C9500T;CH0022627951;CH0022627951;SWX SP TECH2 TR
C9530P;CH0022645292;CH0022645292;SWX SR SFT&CSERV PR
